FID,Fuel_Type,Latitude,Longitude
549,ELEC,21.277819,-157.784287
550,ELEC,21.289897,-157.835614
551,ELEC,21.332602,-157.919048
552,ELEC,21.278842,-157.823158
553,ELEC,21.279034,-157.830714
554,ELEC,20.894961,-156.460591
555,ELEC,20.891712,-156.462988
556,CNG,34.24919,-118.387389
557,CNG,34.208491,-118.448054
558,HY,21.329921,-157.962724
559,BD,21.282649,-157.735212
560,CNG,33.703414,-117.926838
561,LPG,34.19864,-118.175
562,CNG,34.448811,-118.575108
563,E85,34.05398,-118.4656
564,ELEC,34.058293,-118.255779
565,ELEC,34.033429,-118.257001
566,ELEC,34.082057,-118.217153
567,ELEC,33.799442,-118.258421
568,ELEC,34.208758,-118.4444
569,ELEC,34.242075,-118.389944
570,LPG,34.020252,-118.234445
571,LPG,33.94171,-118.423
572,CNG,34.070264,-118.043536
573,CNG,34.023177,-118.2375
574,CNG,34.014486,-118.487477
575,CNG,33.713195,-117.995711
576,CNG,34.283687,-118.438966
577,HY,34.044465,-118.453617
578,HY,33.842878,-118.31396
579,CNG,34.123589,-118.258046
580,ELEC,34.092549,-118.351258
581,ELEC,33.84788,-118.13889
582,HY,33.941453,-118.378143
583,HY,34.174435,-118.310501
584,BD,34.198642,-118.174611
585,CNG,34.24815,-119.267
586,ELEC,34.022029,-118.468769
587,ELEC,34.272812,-118.394014
588,ELEC,34.030347,-118.498017
589,LPG,33.789843,-118.171933
590,CNG,34.003413,-117.924743
591,CNG,35.101542,-117.989487
592,ELEC,34.059305,-118.542765
593,CNG,34.059388,-118.375858
594,BD,19.638044,-155.045039
595,CNG,34.07795,-118.223486
596,BD,20.885131,-156.678728
597,LNG,34.07795,-118.223486
598,ELEC,33.925362,-118.395267
599,CNG,33.78311,-118.222
600,ELEC,33.978998,-118.451868
601,LNG,33.78311,-118.222
602,ELEC,33.982442,-118.459718
603,ELEC,35.135121,-120.623825
604,CNG,33.808026,-117.919691
605,ELEC,33.928301,-118.38965
606,CNG,33.678731,-117.89451
607,ELEC,34.133597,-118.248229
608,ELEC,34.009472,-118.497322
609,ELEC,34.053568,-118.251276
610,ELEC,21.299686,-157.857155
611,ELEC,34.053278,-118.249667
612,ELEC,35.250422,-120.689154
613,ELEC,34.05738,-118.253983
614,LPG,33.873583,-118.013814
615,ELEC,34.050922,-118.254634
616,ELEC,34.423152,-119.689927
617,CNG,34.067909,-118.228216
618,ELEC,34.606142,-120.101452
619,CNG,33.803758,-117.874802
620,ELEC,34.199309,-118.853556
621,ELEC,33.835802,-118.349995
622,LPG,35.063425,-118.176282
623,ELEC,33.860115,-118.029539
624,ELEC,34.052656,-118.472812
625,ELEC,34.283423,-118.867287
626,ELEC,34.049794,-118.501338
627,ELEC,34.093362,-118.351185
628,CNG,34.110011,-117.926466
629,CNG,34.039304,-117.986147
630,ELEC,34.051038,-118.254436
631,ELEC,33.982411,-118.459997
632,ELEC,33.618206,-117.871468
633,ELEC,34.148826,-118.149047
634,LPG,34.355546,-119.045879
635,ELEC,34.216034,-119.057791
636,BD,33.916787,-118.029785
637,CNG,34.020579,-117.975297
638,LNG,34.02413,-118.033024
639,CNG,33.896709,-118.268648
640,CNG,34.01476,-118.48766
641,CNG,34.01476,-118.48766
642,CNG,34.105711,-118.007122
643,LNG,34.01476,-118.48766
644,E85,33.916787,-118.029785
645,E85,34.919864,-117.89552
646,E85,33.842396,-118.287156
647,ELEC,20.883592,-156.454693
648,ELEC,34.161545,-118.82938
649,ELEC,33.870726,-117.998924
650,ELEC,34.165363,-119.045147
651,ELEC,33.98919,-118.39312
652,ELEC,34.231683,-118.251629
653,ELEC,34.931978,-120.419458
654,ELEC,34.920387,-120.443595
655,ELEC,34.420859,-118.557603
656,ELEC,34.162974,-118.828255
657,ELEC,34.169219,-118.44924
658,ELEC,33.806906,-118.339431
659,ELEC,34.074078,-117.890298
660,ELEC,34.178738,-118.448727
661,ELEC,34.167222,-118.582237
662,ELEC,34.17717,-118.449689
663,ELEC,34.133891,-118.357451
664,ELEC,34.182153,-118.606702
665,ELEC,34.270567,-118.467172
666,ELEC,34.167912,-118.581508
667,ELEC,34.034555,-118.272332
668,ELEC,35.250153,-120.685396
669,ELEC,34.414703,-119.6913
670,ELEC,34.93214,-120.421
671,ELEC,34.27733,-118.779062
672,ELEC,34.020195,-118.0317
673,ELEC,34.226917,-119.14917
674,ELEC,34.591197,-118.138272
675,ELEC,34.069502,-118.026958
676,ELEC,33.766385,-117.967497
677,ELEC,33.889074,-118.306806
678,ELEC,34.137036,-118.255158
679,ELEC,34.434265,-119.820542
680,ELEC,33.898998,-118.371545
681,ELEC,33.657391,-118.003
682,ELEC,33.654133,-117.998
683,ELEC,33.710427,-117.98976
684,ELEC,34.062124,-118.404
685,ELEC,33.6915,-117.9095
686,ELEC,33.69276,-117.9183
687,ELEC,34.144097,-118.2577
688,ELEC,34.258024,-118.501
689,ELEC,34.098518,-118.333
690,ELEC,34.02828,-118.2778
691,ELEC,34.05129,-118.41
692,ELEC,34.05362,-118.4128
693,ELEC,34.03373,-118.229
694,ELEC,33.9492,-118.385
695,ELEC,34.0627,-118.4153
696,ELEC,35.250368,-120.6889
697,ELEC,35.252287,-120.6862
698,HY,33.78903,-118.30732
699,HY,33.625292,-117.878418
700,CNG,21.481942,-158.049789
701,CNG,33.857469,-117.890505
702,E85,34.164131,-119.210444
703,ELEC,34.279816,-119.292046
704,ELEC,33.920477,-118.396741
705,ELEC,33.891098,-118.299562
706,ELEC,33.893841,-118.395359
707,ELEC,33.83329,-118.38531
708,ELEC,33.791516,-118.333252
709,ELEC,33.824101,-118.339579
710,ELEC,33.817345,-118.308386
711,LPG,34.222292,-118.359678
712,ELEC,33.840542,-117.888313
713,ELEC,33.818623,-117.958725
714,ELEC,33.816635,-118.009911
715,ELEC,33.802937,-117.943634
716,ELEC,33.817337,-117.974617
717,ELEC,21.394865,-157.743514
718,ELEC,33.839069,-117.995995
719,ELEC,21.393628,-157.742143
720,ELEC,33.788845,-118.028259
721,ELEC,21.393772,-157.742671
722,ELEC,33.846787,-118.028961
723,ELEC,19.736875,-156.039669
724,ELEC,20.740415,-156.442964
725,ELEC,34.043,-118.23561
726,ELEC,20.952676,-156.685993
727,ELEC,20.7422,-156.896039
728,ELEC,33.80724,-118.356888
729,ELEC,21.978007,-159.349152
730,ELEC,33.789014,-117.992486
731,ELEC,20.88532,-156.504045
732,ELEC,21.412014,-157.99881
733,ELEC,34.105732,-118.59175
734,ELEC,33.99119,-118.465
735,ELEC,34.158283,-118.6346
736,ELEC,33.830886,-118.158662
737,ELEC,34.04889,-118.259518
738,ELEC,34.265943,-118.523445
739,ELEC,33.966092,-118.418414
740,ELEC,34.025548,-118.3808
741,ELEC,34.024221,-118.3823
742,ELEC,34.023732,-118.381786
743,ELEC,34.1642,-118.37
744,ELEC,34.02551,-118.3808
745,ELEC,33.940941,-118.1293
746,ELEC,34.187004,-118.395935
747,ELEC,34.07614,-118.0345
748,ELEC,34.145175,-118.1247
749,ELEC,33.781664,-118.120536
750,ELEC,33.846416,-118.394024
751,ELEC,34.049144,-118.4127
752,ELEC,34.046168,-118.081871
753,ELEC,34.059702,-118.4375
754,ELEC,34.13867,-117.9869
755,ELEC,34.067818,-118.399727
756,ELEC,34.155256,-118.973664
757,ELEC,34.15374,-118.9647
758,ELEC,34.073887,-118.396721
759,ELEC,34.068783,-118.40612
760,ELEC,34.202591,-119.1274
761,ELEC,34.069347,-118.401535
762,ELEC,34.18605,-118.886156
763,ELEC,34.675144,-118.1838
764,ELEC,34.064445,-118.398888
765,ELEC,34.036839,-118.689072
766,ELEC,34.06892,-118.403122
767,ELEC,34.4178,-119.848
768,ELEC,34.069335,-118.404612
769,LPG,33.816528,-117.907122
770,ELEC,34.06903,-118.398
771,LPG,33.950108,-118.254055
772,LPG,34.51976,-118.002064
773,ELEC,34.07352,-118.399
774,LPG,34.031632,-118.25719
775,ELEC,34.061604,-118.376556
776,LPG,34.220802,-118.48669
777,ELEC,33.86673,-118.064
778,ELEC,34.068336,-118.398633
779,ELEC,34.08983,-118.393
780,ELEC,33.832615,-118.116
781,ELEC,34.16625,-118.314
782,ELEC,33.805195,-118.158531
783,ELEC,34.05449,-118.2728
784,ELEC,34.157254,-118.639906
785,ELEC,34.169354,-118.6092
786,CNG,33.713195,-117.995711
787,ELEC,35.021993,-118.037266
